ID,REVENUE,MOU,RECCHRGE,DIRECTAS,OVERAGE,ROAM,CHANGEM,CHANGER,DROPVCE,BLCKVCE,UNANSVCE,CUSTCARE,THREEWAY,MOUREC,OUTCALLS,INCALLS,PEAKVCE,OPEAKVCE,DROPBLK,CALLFWDV,CALLWAIT,CHURN,MONTHS,UNIQSUBS,ACTVSUBS,CSA,PHONES,MODELS,EQPDAYS,CUSTOMER,AGE1,AGE2,CHILDREN,CREDITA,CREDITAA,CREDITB,CREDITC,CREDITDE,CREDITGY,CREDITZ,PRIZMRUR,PRIZMUB,PRIZMTWN,REFURB,WEBCAP,TRUCK,RV,OCCPROF,OCCCLER,OCCCRFT,OCCSTUD,OCCHMKR,OCCRET,OCCSELF,OWNRENT,MARRYUN,MARRYYES,MARRYNO,MAILORD,MAILRES,MAILFLAG,TRAVEL,PCOWN,CREDITCD,RETCALLS,RETACCPT,NEWCELLY,NEWCELLN,REFER,INCMISS,INCOME,MCYCLE,CREDITAD,SETPRCM,SETPRC,RETCALL
18,58,754,50,2.2,20,0.2,94,-6.3,3.3,2.7,58,0,0,189,31,12,167,75,6,0,4,1,15,1,1,OHIYNG330,1,1,455,1049818,56,54,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,7,1,0,1,0,0
19,75,1055,85,0,0.25,0,506,-0.098,18,0,47,1,0,113,15,9.7,104,80,18,0,0,1,20,3,2,NYCBRO917,1,1,600,1039403,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
20,40,985,55,0,2.8,1.3,-287,-5.1,1.3,0.33,31,0,0.33,167,24,2.7,47,117,1.7,0,3.3,1,8,1,1,ATLOPE334,1,1,238,1073341,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
21,46,571,34,0.74,54,0,-571,-77,2,2.7,37,8.3,0,105,23,31,127,161,4.7,0,4,0,8,1,1,FLNCLR813,1,1,255,1070365,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,1,0,0
22,87,406,46,0.5,0,0,-244,169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,1,NOLKEN504,1,1,264,1069082,44,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0
23,3.8,0,5,0,0,0,0,-3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,1,INDIND317,1,1,391,1058103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
24,43,353,40,0,27,0,-48,-9.4,2,1,134,0,1.3,76,33,28,116,67,3,0,0.67,1,11,2,2,LAXLAX213,2,2,112,1078224,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,30,0
25,81,455,40,3.2,0,0,39,-38,4.7,2.3,19,2,0.33,130,26,2.7,58,76,7,0,1,0,19,1,1,PHIWIL302,1,1,574,1042155,28,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0
26,10,29,10,0,0,0,-8.3,0,1,0.33,1.3,0,0,1.7,1.3,0.33,14,6,1.3,0,0,1,30,1,1,NYCNEW201,1,1,909,1012566,40,34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,0,0,1,0,0
27,32,263,39,0.25,1.5,0,1.5,-9.1,4,0.33,19,0,0,74,45,7.3,77,48,4.3,0,0.67,0,10,1,1,LAXBUR818,1,1,276,1088569,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
28,86,846,75,0.74,0,0.2,-143,-7.2,1.7,33,62,5.3,0,311,44,94,448,115,34,0,12,1,16,1,1,SANMCA210,2,2,183,1063403,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,200,0
29,45,357,32,0.25,16,4.2,-138,-7,4.3,0,13,0,0,47,10,5,46,45,4.3,0,1,0,19,2,2,NNYALB518,1,1,579,1037241,26,26,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0
30,26,30,26,0,0,0,-7.8,-12,0.67,0,2.7,0,0.33,1.9,0,0,11,7.3,0.67,0,0,0,10,1,1,NNYALB518,1,1,300,1063419,52,46,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,0
31,65,961,50,0,50,0,-87,-16,24,4,95,0,0,225,83,40,203,227,28,0,0,0,16,1,1,NYCBRO917,1,1,497,1039008,24,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
32,66,714,60,0,42,3.9,88,24,2,1.7,22,0,0,169,9,2.7,91,33,3.7,0,3.7,1,27,1,1,OKCWIC940,1,1,811,1022844,34,30,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0
33,40,213,52,0.25,4,0,95,2.4,2,2.3,19,0.67,0.67,44,2,4.7,29,8.7,4.3,0,0,0,7,1,1,DALDAL214,1,1,213,1078887,56,56,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,9,0,0,1,0,0
34,34,127,30,0,0,0,-80,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,2,2,KCYKCK913,3,3,267,1009177,42,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,40,0
35,33,27,30,0,0,0,-26,0,0.33,2.7,4,0,0,0.17,0,0,4.7,2.3,3,0,0,1,29,2,2,ATLATL678,1,1,863,1014641,54,58,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,9,0,0,1,0,0
36,44,222,15,0.99,50,2.9,-22,-11,5,0.33,25,0,0,78,5,7,85,34,5.3,0,0,1,59,2,2,NEVOCN760,4,4,398,1097829,48,48,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,30,0
37,59,982,60,0,2,0,268,1.5,36,8,90,1.3,0.33,151,53,30,114,155,44,0,0,0,30,3,2,NYCNEW732,3,3,622,1013116,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,80,0
38,54,96,60,0,0,0,203,0,1,0.33,22,0,0.33,7.1,13,3.7,34,14,1.3,0,0,1,8,2,2,SFROAK510,1,1,231,1088479,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
39,43,938,55,0,0,0.19,-365,2.3,13,0,56,5.3,0,167,24,106,141,200,13,0,2,1,11,5,3,SFROAK510,2,2,330,1089285,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,150,0
40,125,1095,85,0.99,1.5,48,-142,-0.77,17,0.33,51,0.33,1,100,119,5.7,185,113,18,0,1,0,10,2,1,SFRDAN925,1,1,299,1085608,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
41,39,378,40,1.5,12,0,60,11,11,4.7,38,0,0.33,63,48,4.3,79,162,16,0,4.3,0,15,1,1,PHISAL856,1,1,443,1057101,46,46,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,6,0,0,1,0,0
42,28,56,30,0,0,0,0.75,-1,0,3,2.7,0,0.67,1.1,1.3,0,24,4,3,0,0,1,27,1,1,NCRGRB757,1,1,835,1011294,68,64,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,6,0,0,1,0,0
43,45,676,50,0,25,1.3,-96,-10,4.3,1,56,6,0,67,7,5,79,51,5.7,0,0.33,1,7,1,1,STLCMB573,1,1,227,1075650,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
44,40,354,50,0.99,14,0,104,1.3,2.7,4.3,13,3,0,11,4.7,1.7,29,13,7,0,0,1,15,2,2,HOUHOU281,1,1,466,1048482,44,42,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,7,0,0,1,0,0
45,236,1512,73,4.2,409,0,-514,-150,7.3,1,137,6.3,1,127,40,0.67,303,146,8.3,0,0,1,33,1,1,SFRSMO650,2,1,871,1009726,42,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,30,0
46,75,460,70,0.5,0,15,122,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,1,NEVELC619,1,1,301,1073142,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
47,87,1324,85,5,42,0,-410,-2.4,5,3.3,40,0,0,167,25,2.7,131,61,8.3,0,2.3,1,11,2,1,KCYKCM816,1,1,333,1057339,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
48,42,490,10,0,80,0,-136,-28,6.7,0,25,0,0,130,49,14,133,43,6.7,0,1,1,11,4,2,SFRCON925,1,1,330,1089234,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
49,83,687,85,0.5,1.3,0,-37,1.2,6.7,0.33,21,4,0,157,21,0.33,89,34,7,0,0,1,16,1,1,LAXSAN714,1,1,490,1039636,40,40,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,6,0,0,1,0,0
50,51,576,70,1.2,0,0,42,-0.25,0,2.7,14,0.33,0,19,2.7,0,62,33,2.7,0,0,0,11,1,1,FLNEUS352,1,1,334,1088862,68,66,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0
51,32,81,30,0,0,0,-8,-1.5,0.33,1.7,7,0,0,0.21,2.7,0,23,16,2,0,0,0,35,1,1,NYCBRO917,1,1,1051,1006604,46,42,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,6,0,0,1,0,0
52,78,1626,85,0.25,8.3,0,632,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,3,1,ATLATL678,1,1,269,1068416,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
53,11,534,10,0.5,0,0,35,-0.59,7.7,1.3,26,1.3,0,134,34,15,138,38,9,0,0.33,0,7,10,5,LAXANA714,1,1,208,1080214,42,42,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,6,0,0,1,0,0
54,106,746,50,0,143,1.4,-89,-40,12,2.3,76,0,0.33,169,21,3.3,322,40,14,0,0.67,0,28,1,1,NYCNEW908,2,2,88,1010406,32,68,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,30,0
55,41,270,45,0,0,0,201,0,3,1.7,7,0,0.33,52,7,0.33,56,15,4.7,0,0,0,27,3,2,FLNCLR813,2,2,808,1015090,28,24,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,7,0,0,0,30,0
56,36,313,45,0.25,0,0.64,186,1,4.3,0,20,4.3,0.33,71,14,0,66,35,4.3,0,0,0,7,1,1,DETWYN734,1,1,205,1094505,30,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0
57,108,230,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,1,1,STLSTL314,2,1,11,1002173,38,68,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,30,0
58,61,676,60,0.99,0,6.3,298,-5.1,5,3.3,22,0,0.67,10,4.3,0.33,65,86,8.3,0,0.33,0,9,1,1,STLSTL314,1,1,278,1078192,58,54,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
59,76,674,79,0.25,34,0.58,-400,-76,6.7,1.3,28,2,0,80,53,20,164,50,9.3,0,1,0,7,4,3,SEABLV425,1,1,222,1076755,36,34,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,1,0,0
60,30,65,40,0,0,0.48,72,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,1,BOSBOS508,1,1,322,1069653,50,46,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0
61,73,2712,10,3,373,0,24,7.1,28,2,92,0.33,0,912,94,77,973,211,30,0,6,1,36,5,4,LAXVNY818,4,4,279,1098653,46,36,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,7,0,0,0,80,0
62,30,107,40,0.25,0,0,-36,-0.25,1.3,0.33,9.7,0.33,0.67,2.6,3,0,15,6.3,1.7,0,0,0,17,1,1,HARHAR860,1,1,496,1050406,70,66,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,9,0,0,1,0,0
63,36,460,55,0.25,0,0,-158,6.2,2.3,2.3,11,0.33,0.33,31,19,10,43,57,5,0,0.33,0,7,1,1,DALDAL214,2,1,193,1076039,30,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,6,0,0,0,60,0
64,54,514,59,0.5,8.8,0,-59,-3.8,9.3,1.3,15,2,0.33,194,11,1.7,74,64,11,0,0,0,27,1,1,SEABLV425,2,2,478,1012363,54,26,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,9,0,0,0,30,0
65,10,13,10,0,0,0,-13,0,0,0,4,0,0.67,0.78,2.3,0,6.7,2.7,0,0,0,0,7,2,2,NYCNEW201,1,1,206,1096665,56,52,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0
66,134,2198,105,0,9.8,34,233,-34,16,5,82,6.7,1.7,686,139,53,249,283,21,0,12,1,19,1,1,FLNTAM813,4,4,220,1036584,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,200,0
67,31,175,40,0,0,0.86,-33,-1.1,0.67,0,7.3,0.67,0,25,3.3,0,48,25,0.67,0,0,0,10,1,1,SEAPOR503,1,1,298,1063742,38,36,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0
68,66,510,45,0.25,75,0,84,29,2,0.67,3,0,0,140,26,10,74,50,2.7,0,1.3,1,11,1,1,KCYKCM816,1,1,321,1090198,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
69,35,152,30,0,0,0,-56,-1.7,1.3,0,4.3,0,0,7.8,9,4,30,23,1.3,0,0.33,0,35,1,1,LOUNAL812,1,1,1061,1003823,52,54,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,6,0,0,1,0,0
70,58,318,31,0.74,73,0,192,69,0.33,1.7,17,0.67,0,34,4,1,67,21,2,0,0.33,1,11,4,2,NMXDEL830,1,1,337,1067602,34,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
71,62,226,50,5.4,1.5,0,70,-0.31,2.3,2.3,33,1,0.33,28,13,2.3,45,34,4.7,0,0,0,9,1,1,SANAUS512,1,1,265,1082074,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
72,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,2,2,PHXPHX602,1,1,512,1043839,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
73,32,133,30,1.7,0,0,-2.3,1.2,0,0.33,2.7,0,0,3.2,0.33,0,23,5.7,0.33,0,0,0,18,1,1,CHICHI312,1,1,543,1040515,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,1,0,0
74,15,41,10,0.74,0,0.16,-5.3,-1.2,1,2.7,2,0,0,0.23,0,0,12,2.7,3.7,0,0,0,9,2,2,LOUNAL812,2,1,224,1069164,50,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,150,0
75,101,818,70,0.5,119,0,489,44,5.7,0,7.7,0,0.33,270,53,8,131,44,6.3,0,0,1,10,1,1,PHXPHX602,1,1,302,1092133,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
